"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,74419,"37686","TN","Kingsport-Bristol-Bristol","Sullivan County","Piney Flats",8991,181800,0.00165289256198347,0.00831946755407654,0.0551363900174115,0.0276805549280097,0.0192095628546691,"2019-02","2019-Q1",181800,0,"2019-02"
2019-02-28,77490,"45176","OH","Cincinnati","Clermont County","Williamsburg",8992,140000,0.00286532951289398,0.0204081632653061,0.0582010582010582,0.0467634959458212,0.0250635418755822,"2019-02","2019-Q1",140000,0,"2019-02"
2019-02-28,81976,"54923","WI",,"Green Lake County","Berlin",8993,116800,-0.000855431993156544,0.00343642611683849,0.0522522522522523,0.0280740047187638,0.0104188674473726,"2019-01","2019-Q1",116900,-0.000855431993156544,"2018-12"
2019-02-28,62911,"13036","NY","Syracuse","Oswego County","Hastings",8994,133400,0,0.0144486692015209,0.0309119010819165,0.0313876334864731,0.0249133548333813,"2019-02","2019-Q1",133400,0,"2019-02"
2019-02-28,69173,"27017","NC","Mount Airy","Surry County","Dobson",8995,128500,-0.00232919254658385,0.00942655145326002,0.0690515806988353,0.0287874365622647,0.0068671878948201,"2019-01","2019-Q1",128800,-0.00232919254658385,"2019-01"
2019-02-28,73100,"34434","FL","Ocala","Marion County","Dunnellon",8996,151500,0.00731382978723404,0.025727826675694,0.118081180811808,0.120692233344255,0.0330932669196504,"2006-08","2006-Q3",165300,-0.0834845735027223,"2005-12"
2019-02-28,82037,"55011","MN","Minneapolis-St. Paul-Bloomington","Anoka County","East Bethel",8997,279100,0.00251436781609195,0.0123322451940515,0.0520165849981153,0.0649056502801775,0.0309854932655325,"2019-02","2019-Q1",279100,0,"2019-02"
2019-02-28,74398,"37641","TN","Greeneville","Greene County","Chuckey",8998,102300,-0.00679611650485437,0.00688976377952756,0.11316648531012,0.0590168805326081,0.0316666261995331,"2018-09","2018-Q3",104300,-0.0191754554170662,"2018-08"
2019-02-28,76900,"43935","OH","Wheeling","Belmont County","Martins Ferry",8999,58800,-0.0050761421319797,-0.0167224080267559,0.027972027972028,0.0362927138762015,0.0186074463741828,"2018-09","2018-Q3",60700,-0.0313014827018122,"2018-07"
2019-02-28,59223,"03825","NH","Boston-Cambridge-Newton","Strafford County","Barrington",9000,295800,0.00101522842639594,-0.00370495116200741,0.029585798816568,0.0574660594665257,0.0204039989260554,"2018-11","2018-Q4",296900,-0.00370495116200741,"2018-09"
